digit,sounds_default,sounds_custom,display_default,display_custom,hint_default,hint_custom
0,"s, z",,"s, z",,"""0"" ligner en S som ligger ned",
1,"t, d",,"t, d",,T og D har 1 loddrett strek,
2,n,,n,,N har 2 loddrette streker,
3,m,,m,,M har 3 loddrette streker,
4,r,,r,,"R – siste bokstav i ""fouR""",
5,l,,l,,L = 50 på romertall,
6,"sj, kj, skj, tj",,"sj, kj, skj, tj",,"Sj-lyden, som i ""sjef""",
7,"k, g",,"k, g (hard)",,K ser ut som 2 × 7,
8,"f, v",,"f, v",,F/V ser ut som en 8 på siden,
9,"p, b",,"p, b",,P er 9 speilvendt; B er 9 invertert,
