number,default,custom
01,sete,
02,sone,
03,sum,
04,sør,
05,sol,
06,sushi,
07,sekk,
08,sofa,
09,sopp,
10,tass,
11,tid,
12,tinn,
13,dame,
14,Donald Trump,
15,Neymar,
16,Michael Jackson,
17,Ronaldinho,
18,Lewis Hamilton,
19,Johnny Cash,
20,Kim Kardashian,
21,Freddie Mercury,
22,Barack Obama,
23,Snoop Dogg,
24,Taylor Swift,
25,Nancy Pelosi,
26,Madonna,
27,Donald Duck,
28,Nemo,
29,Mario,
30,Rick Sanchez,
31,Luigi,
32,Shrek,
33,Gru,
34,Voldemort,
35,Bart Simpson,
36,Superman,
37,Tinker Bell,
38,Nala,
39,Minnie Mouse,
40,Tom Cruise,
41,Nicolas Cage,
42,Morgan Freeman,
43,Robin Williams,
44,Liam Neeson,
45,Sean Connery,
46,Keanu Reeves,
47,Vin Diesel,
48,Benedict Cumberbatch,
49,Sylvester Stallone,
50,Demi Moore,
51,Nicole Kidman,
52,Michelle Pfeiffer,
