number,person,action,object
01,Adele,baking,anchor
02,Beyoncé,boxing,apple
03,Bono,bouncing,balloon
04,Batman,building,banana
05,Bruce Lee,burning,barrel
06,Chaplin,carving,bell
07,Cleopatra,chasing,boot
08,Da Vinci,climbing,bottle
09,Dracula,crushing,bucket
10,Einstein,dancing,cactus
11,Elvis,digging,candle
12,Frodo,diving,cannon
13,Gandhi,drilling,clock
14,Gandalf,drumming,cloud
15,Gollum,eating,comb
16,Hercules,fencing,crown
17,Homer,fishing,cup
18,Houdini,flying,diamond
19,Iron Man,folding,drum
20,James Bond,freezing,feather
21,Joan of Arc,gliding,flag
22,Kobe,grilling,fork
23,Lady Gaga,hammering,globe
24,Loki,juggling,guitar
25,Mario,jumping,hammer
26,Merlin,kicking,helmet
27,Messi,knitting,igloo
28,Mozart,launching,kettle
29,Napoleon,lifting,kite
30,Neo,melting,ladder
31,Newton,mixing,lantern
32,Obama,mopping,magnet
33,Odin,painting,mirror
34,Picasso,planting,nail
35,Pikachu,pouring,needle
36,Rocky,punching,pencil
37,Ronaldo,pushing,piano
38,Santa,racing,pillow
39,Shakira,riding,pizza
40,Sherlock,rolling,rocket
41,Shrek,rowing,rope
42,Simba,sawing,saddle
43,Sinatra,shooting,shovel
44,Socrates,singing,skull
45,Spider-Man,skating,spoon
46,Superman,sketching,sword
47,Tarzan,slicing,telescope
48,Tesla,spinning,trumpet
49,Thor,stacking,umbrella
50,Yoda,surfing,violin
51,Zeus,sweeping,wheel
52,Zorro,swimming,whistle
